,Rate,Building Type,Address Requested,Address Delivered,Addresses Match?,Annual Sunlight (Hours),Roof Area (sq ft),Savings Estimate ($),Recommended Installation Size (kW),Recommended Area (sq ft)
454,Commercial Demand,Small Office,"202 S UNION ST, Traverse City, Michigan, USA","202 S Union St, Traverse City, MI 49684, USA",1,1335,11663,6000,6.3,440.0
455,Commercial Demand,Primary School,"1001 S OAK ST, Traverse City, Michigan, USA","444 W Thirteenth St, Traverse City, MI 49684, USA",0,1271,987,4000,7.3,511.0
456,Commercial Demand,Warehouse,"707 PARSONS RD, Traverse City, Michigan, USA","707 Parsons Rd, Traverse City, MI 49686, USA",1,1331,8122,6000,6.3,440.0
457,Commercial Demand,Retirement Community,"3950 SCENIC RIDGE, Traverse City, Michigan, USA","3950 Scenic Ridge, Traverse City, MI 49684, USA",1,1448,758,5000,6.5,458.0
458,Commercial Demand,Service ,"706 W FRONT ST, Traverse City, Michigan, USA","702 W Front St, Traverse City, MI 49684, USA",0,1360,899,5000,6.3,440.0
459,Commercial Demand,Small Hotel,"460 MUNSON AVE, Traverse City, Michigan, USA","460 Munson Ave US HWY 31, Traverse City, MI 49686, USA",1,1411,14429,6000,5.8,405.0
460,Commercial Demand,Retirement Community,"415 S ELMWOOD AVE, Traverse City, Michigan, USA","415 S Elmwood Ave, Traverse City, MI 49684, USA",1,1254,2343,4000,6.8,476.0
461,Commercial Demand,Midrise Apartment,"1015 RED DR, Traverse City, Michigan, USA","1015 Red Dr, Traverse City, MI 49684, USA",1,1416,6836,6000,5.8,405.0
462,Commercial Demand,Full Service Restaurant,"229 LAKE AVE, Traverse City, Michigan, USA","227 Lake Ave, Traverse City, MI 49684, USA",0,1332,5532,6000,6.3,440.0
463,Commercial Demand,Small Office,"424 E FRONT ST, Traverse City, Michigan, USA","424 E Front St, Traverse City, MI 49686, USA",1,1351,1163,6000,6.3,440.0
464,Commercial Demand,Quick Service Restaurant,"1686 S GARFIELD AVE, Traverse City, Michigan, USA",Not Found,,,,,,
465,Commercial Demand,Outpatient,"1241 E EIGHTH ST, Traverse City, Michigan, USA","202 E State St #100, Traverse City, MI 49686, USA",0,1391,7171,6000,6.0,423.0
466,Commercial Demand,Warehouse,"3680 CASS RD, Traverse City, Michigan, USA",Not Found,,,,,,
467,Commercial Demand,Retail Strip Mall,"728 MUNSON AVE, Traverse City, Michigan, USA","724 Munson Ave, Traverse City, MI 49686, USA",0,1358,19733,6000,6.3,440.0
468,Commercial Demand,Service ,"901 E FRONT ST, Traverse City, Michigan, USA","901 E Front St, Traverse City, MI 49686, USA",1,1407,934,6000,6.0,423.0
469,Commercial Demand,Medium Office,"1001 W ELEVENTH ST, Traverse City, Michigan, USA","1001 W Eleventh St, Traverse City, MI 49684, USA",1,1385,828,5000,6.5,458.0
470,Commercial Demand,Warehouse,"807 AIRPORT ACCESS RD, Traverse City, Michigan, USA","807 Airport Access Rd d, Traverse City, MI 49686, USA",1,1326,156063,7000,5.8,405.0
471,Commercial Demand,Retail Strip Mall,"1323 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1323 W South Airport Rd, Traverse City, MI 49686, USA",1,1303,14024,5000,6.5,458.0
472,Commercial Demand,Retail Standalone,"135 E STATE ST, Traverse City, Michigan, USA","135 E State St, Traverse City, MI 49684, USA",1,1321,3770,6000,6.3,440.0
473,Commercial Demand,Large Office,"120 W FRONT ST, Traverse City, Michigan, USA","120 W Front St, Traverse City, MI 49684, USA",1,1311,6008,5000,6.3,440.0
474,Commercial Demand,Warehouse,"2155 TRAVERSEFIELD DR, Traverse City, Michigan, USA","2155 Traversefield Dr, Traverse City, MI 49686, USA",1,1325,28348,6000,6.3,440.0
475,Commercial Demand,Medium Office,"440 E FRONT ST, Traverse City, Michigan, USA","440 E Front St, Traverse City, MI 49686, USA",1,1372,2819,6000,6.3,440.0
476,Commercial Demand,Retirement Community,"3950 SCENIC RIDGE, Traverse City, Michigan, USA","3950 Scenic Ridge, Traverse City, MI 49684, USA",1,1448,758,5000,6.5,458.0
477,Commercial Demand,Large Office,"333 W GRANDVIEW PKWY STE, Traverse City, Michigan, USA","333 W Grandview Pkwy, Traverse City, MI 49684, USA",1,1329,11822,6000,6.3,440.0
478,Commercial Demand,Large Office,"800 S GARFIELD AVE, Traverse City, Michigan, USA","804 S Garfield Ave Suite A, Traverse City, MI 49686, USA",0,1212,3347,4000,7.0,493.0
479,Commercial Demand,Retail Standalone,"1104 E FRONT ST, Traverse City, Michigan, USA","1104 E Front St, Traverse City, MI 49686, USA",1,1300,2097,5000,6.5,458.0
480,Commercial Demand,Supermarket,"1532 US 31 NORTH, Traverse City, Michigan, USA",Not Found,,,,,,
481,Commercial Demand,Warehouse,"2699 CASS RD, Traverse City, Michigan, USA","2699 Cass Rd, Traverse City, MI 49684, USA",1,1316,2678,5000,6.3,440.0
482,Commercial Demand,Medium Office,"720 S ELMWOOD AVE, Traverse City, Michigan, USA","720 S Elmwood Ave #2, Traverse City, MI 49684, USA",1,1209,8281,4000,7.0,493.0
483,Commercial Demand,Warehouse,"2397 TRAVERSEFIELD DR, Traverse City, Michigan, USA","2397 Traversefield Dr, Traverse City, MI 49686, USA",1,1309,14588,5000,6.3,440.0
484,Commercial Demand,Retail Standalone,"3536 N US 31 SOUTH, Traverse City, Michigan, USA",Not Found,,,,,,
485,Commercial Demand,Small Hotel,"1492 US 31 NORTH, Traverse City, Michigan, USA",Not Found,,,,,,
486,Commercial Demand,Service ,"501 E EIGHTH ST, Traverse City, Michigan, USA","501 E Eighth St, Traverse City, MI 49686, USA",1,1350,529,6000,6.3,440.0
487,Commercial Demand,Medium Office,"141 RIVERS EDGE DR, Traverse City, Michigan, USA","310 Cass St, Traverse City, MI 49684, USA",0,1394,11963,6000,6.0,423.0
488,Commercial Demand,Secondary School,"1150 MILLIKEN DR, Traverse City, Michigan, USA","1150 Milliken Dr, Traverse City, MI 49686, USA",1,1327,212777,6000,6.0,423.0
489,Commercial Demand,Quick Service Restaurant,"524 W FOURTEENTH ST, Traverse City, Michigan, USA","529 W Fourteenth St, Traverse City, MI 49684, USA",0,1286,881,5000,6.8,476.0
490,Commercial Demand,Medium Office,"521 RANDOLPH ST, Traverse City, Michigan, USA","521 Randolph St, Traverse City, MI 49684, USA",1,1351,3436,6000,6.3,440.0
491,Commercial Demand,Service ,"511 S GARFIELD AVE, Traverse City, Michigan, USA","511 S Garfield Ave, Traverse City, MI 49686, USA",1,1318,13760,6000,6.3,440.0
492,Commercial Demand,Retail Standalone,"2360 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","2370 W South Airport Rd, Traverse City, MI 49684, USA",0,1320,22146,6000,6.3,440.0
493,Commercial Demand,Retail Standalone,"950 WOODMERE AVE, Traverse City, Michigan, USA","950 Woodmere Ave, Traverse City, MI 49686, USA",1,1437,9514,6000,5.8,405.0
494,Commercial Demand,Retail Standalone,"2751 N US 31 SOUTH, Traverse City, Michigan, USA","2743 US-31, Traverse City, MI 49684, USA",0,1370,11188,6000,6.0,423.0
495,Commercial Demand,Retail Strip Mall,"800 HASTINGS ST, Traverse City, Michigan, USA","800 Hastings St Suite B, Traverse City, MI 49686, USA",1,1292,5849,5000,6.5,458.0
496,Commercial Demand,Retail Standalone,"2801 N US 31 SOUTH, Traverse City, Michigan, USA","2801 US-31, Traverse City, MI 49684, USA",1,1379,16896,6000,6.0,423.0
497,Commercial Demand,Outpatient,"924 HASTINGS ST, Traverse City, Michigan, USA","924 Hastings St, Traverse City, MI 49686, USA",1,1268,2185,4000,7.0,493.0
498,Commercial Demand,Midrise Apartment,"101 N PARK ST, Traverse City, Michigan, USA","255 E Front St, Traverse City, MI 49684, USA",0,1419,8087,6000,6.0,423.0
499,Commercial Demand,Other ,"144 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","143 E South Airport Rd, Traverse City, MI 49686, USA",0,1151,722,2000,8.0,564.0
500,Commercial Demand,Full Service Restaurant,"1371 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1371 W South Airport Rd, Traverse City, MI 49686, USA",1,1315,8016,5000,6.3,440.0
501,Commercial Demand,Medium Office,"415 MUNSON AVE, Traverse City, Michigan, USA","415 Munson Ave, Traverse City, MI 49686, USA",1,1314,11822,5000,6.3,440.0
502,Commercial Demand,Medium Office,"218 W FOURTEENTH ST, Traverse City, Michigan, USA","218 W Fourteenth St, Traverse City, MI 49684, USA",1,1441,2061,6000,6.0,423.0
503,Commercial Demand,Large Office,"625 WOODMERE AVE, Traverse City, Michigan, USA","625 Woodmere Ave, Traverse City, MI 49686, USA",1,1338,42813,7000,5.8,405.0
504,Commercial Demand,Other ,"144 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","143 E South Airport Rd, Traverse City, MI 49686, USA",0,1151,722,2000,8.0,564.0
505,Commercial Demand,Retail Standalone,"129 E FRONT ST, Traverse City, Michigan, USA","129 E Front St Suite 200, Traverse City, MI 49684, USA",1,1385,2414,6000,6.3,440.0
506,Commercial Demand,Retail Strip Mall,"734 MUNSON AVE SUITE, Traverse City, Michigan, USA","801 Munson Ave, Traverse City, MI 49686, USA",0,1409,1727,6000,6.0,423.0
507,Commercial Demand,Medium Office,"315 E FRONT ST, Traverse City, Michigan, USA","313 E Front St, Traverse City, MI 49686, USA",0,1330,7664,6000,6.3,440.0
508,Commercial Demand,Retail Strip Mall,"3055 CASS RD, Traverse City, Michigan, USA","3055 Cass Rd, Traverse City, MI 49684, USA",1,1418,16315,6000,5.8,405.0
509,Commercial Demand,Full Service Restaurant,"160 E FRONT ST, Traverse City, Michigan, USA","156 E Front St, Traverse City, MI 49684, USA",0,1340,1550,5000,6.3,440.0
510,Commercial Demand,Warehouse,"2470 N AERO PARK CT, Traverse City, Michigan, USA","2470 N Aero-Park Ct, Traverse City, MI 49686, USA",1,1319,19574,6000,6.3,440.0
511,Commercial Demand,Retail Strip Mall,"1201 S GARFIELD AVE, Traverse City, Michigan, USA",Not Found,,,,,,
512,Commercial Demand,Warehouse,"2314 SYBRANDT RD, Traverse City, Michigan, USA","2314 Sybrandt Rd, Traverse City, MI 49684, USA",1,1357,159552,7000,5.8,405.0
513,Commercial Demand,Medium Office,"1501 CASS ST, Traverse City, Michigan, USA","145 Fairway Hills Dr, Traverse City, MI 49684, USA",0,1335,1691,5000,6.5,458.0
514,Commercial Demand,Retail Standalone,"1331 S GARFIELD AVE, Traverse City, Michigan, USA","1331 S Garfield Ave, Traverse City, MI 49686, USA",1,1449,8087,6000,5.8,405.0
515,Commercial Demand,Medium Office,"735 S GARFIELD AVE, Traverse City, Michigan, USA","735 S Garfield Ave, Traverse City, MI 49686, USA",1,1430,5867,6000,5.8,405.0
516,Commercial Demand,Medium Office,"440 W FRONT ST, Traverse City, Michigan, USA","440 W Front St, Traverse City, MI 49684, USA",1,1308,3154,5000,6.3,440.0
517,Commercial Demand,Warehouse,"845 E SOUTH AIRPORT RD, Traverse City, Michigan, USA",Not Found,,,,,,
518,Commercial Demand,Other ,"3375 WRIGHT DR, Traverse City, Michigan, USA","3375 Wright Dr, Traverse City, MI 49686, USA",1,1329,32929,6000,6.3,440.0
519,Commercial Demand,Warehouse,"1230 WOODMERE AVE, Traverse City, Michigan, USA","1230 Woodmere Ave, Traverse City, MI 49686, USA",1,1345,4598,6000,6.3,440.0
520,Commercial Demand,Retail Standalone,"1396 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1396 W South Airport Rd, Traverse City, MI 49686, USA",1,1386,3806,6000,6.0,423.0
521,Commercial Demand,Outpatient,"701 W FRONT ST, Traverse City, Michigan, USA","701 W Front St STE 200, Traverse City, MI 49684, USA",1,1429,5567,6000,5.8,405.0
522,Commercial Demand,Retail Standalone,"2577 N US 31 SOUTH, Traverse City, Michigan, USA",Not Found,,,,,,
523,Commercial Demand,Outpatient,"317 E FRONT ST, Traverse City, Michigan, USA","313 E Front St, Traverse City, MI 49686, USA",0,1330,7664,6000,6.3,440.0
524,Commercial Demand,Medium Office,"241 E STATE ST, Traverse City, Michigan, USA","241 E State St, Traverse City, MI 49684, USA",1,1333,8333,6000,6.3,440.0
525,Commercial Demand,Retail Standalone,"1795 BARLOW ST, Traverse City, Michigan, USA","1795 Barlow St, Traverse City, MI 49686, USA",1,1341,1956,6000,6.3,440.0
526,Commercial Demand,Medium Office,"201 E SEVENTEENTH ST, Traverse City, Michigan, USA","201 E Seventeenth St, Traverse City, MI 49684, USA",1,1156,3682,3000,7.5,529.0
527,Commercial Demand,Outpatient,"844 E FRONT ST, Traverse City, Michigan, USA","844 E Front St, Traverse City, MI 49686, USA",1,1356,3101,5000,6.3,440.0
528,Commercial Demand,Retirement Community,"3950 SCENIC RIDGE, Traverse City, Michigan, USA","3950 Scenic Ridge, Traverse City, MI 49684, USA",1,1448,758,5000,6.5,458.0
529,Commercial Demand,Retail Strip Mall,"1115 S GARFIELD AVE, Traverse City, Michigan, USA","1115 S Garfield Ave, Traverse City, MI 49684, USA",1,1444,29493,7000,5.8,405.0
530,Commercial Demand,Medium Office,"141 RIVERS EDGE DR, Traverse City, Michigan, USA","310 Cass St, Traverse City, MI 49684, USA",0,1394,11963,6000,6.0,423.0
531,Commercial Demand,Full Service Restaurant,"472 MUNSON AVE, Traverse City, Michigan, USA","472 Munson Ave, Traverse City, MI 49686, USA",1,1361,3207,6000,6.3,440.0
532,Commercial Demand,Retail Standalone,"3675 MARKETPLACE CR, Traverse City, Michigan, USA","3675 Marketplace Cir, Traverse City, MI 49684, USA",1,1443,16350,7000,5.8,405.0
533,Commercial Demand,Warehouse,"795 LYNCH DR, Traverse City, Michigan, USA","811 Lynch Dr, Traverse City, MI 49686, USA",0,1322,47129,6000,6.3,440.0
534,Commercial Demand,Medium Office,"1881 COLLEGE DR, Traverse City, Michigan, USA","1880 College Dr, Traverse City, MI 49686, USA",0,1237,3770,4000,7.0,493.0
535,Commercial Demand,Other ,"144 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","143 E South Airport Rd, Traverse City, MI 49686, USA",0,1151,722,2000,8.0,564.0
536,Commercial Demand,Supermarket,"3587 MARKETPLACE CR, Traverse City, Michigan, USA","3639 Marketplace Cir, Traverse City, MI 49684, USA",0,1341,19680,6000,6.3,440.0
537,Commercial Demand,Supermarket,"905 E EIGHTH ST, Traverse City, Michigan, USA","905 E Eighth St, Traverse City, MI 49686, USA",1,1410,16121,6000,5.8,405.0
538,Commercial Demand,Service ,"1122 E EIGHTH ST, Traverse City, Michigan, USA","1116 E Eighth St, Traverse City, MI 49686, USA",0,1320,10289,6000,6.3,440.0
539,Commercial Demand,Medium Office,"420 E FRONT ST, Traverse City, Michigan, USA","420 E Front St, Traverse City, MI 49686, USA",1,1373,1586,5000,6.5,458.0
540,Commercial Demand,Retail Standalone,"101 E FRONT ST, Traverse City, Michigan, USA","107 E Front St, Traverse City, MI 49684, USA",0,1324,14007,6000,6.3,440.0
541,Commercial Demand,Retail Standalone,"538 W FOURTEENTH ST, Traverse City, Michigan, USA","538 W Fourteenth St, Traverse City, MI 49684, USA",1,1322,2467,5000,6.3,440.0
542,Commercial Demand,Midrise Apartment,"701 W FRONT ST, Traverse City, Michigan, USA","701 W Front St STE 200, Traverse City, MI 49684, USA",1,1429,5567,6000,5.8,405.0
543,Commercial Demand,Retail Strip Mall,"1117 W SOUTH AIRPORT RD UNIT, Traverse City, Michigan, USA","1117 W South Airport Rd, Traverse City, MI 49686, USA",1,1397,9884,6000,6.0,423.0
544,Commercial Demand,Retail Strip Mall,"839 S GARFIELD AVE, Traverse City, Michigan, USA","839 S Garfield Ave, Traverse City, MI 49686, USA",1,1325,29317,6000,6.3,440.0
545,Commercial Demand,Retail Standalone,"626 W FRONT ST, Traverse City, Michigan, USA","626 W Front St, Traverse City, MI 49684, USA",1,1385,11470,6000,6.0,423.0
546,Commercial Demand,Retail Standalone,"827 S UNION ST, Traverse City, Michigan, USA","827 S Union St, Traverse City, MI 49684, USA",1,1417,987,6000,6.3,440.0
547,Commercial Demand,Retail Strip Mall,"1319 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1323 W South Airport Rd, Traverse City, MI 49686, USA",0,1303,14024,5000,6.5,458.0
548,Commercial Demand,Other ,"111 E GRANDVIEW PKWY, Traverse City, Michigan, USA",Not Found,,,,,,
549,Commercial Demand,Religious worship ,"1139 E FRONT ST, Traverse City, Michigan, USA","1139 E Front St, Traverse City, MI 49686, USA",1,1318,7611,6000,6.3,440.0
550,Commercial Demand,Midrise Apartment,"1011 LAKE RIDGE DR, Traverse City, Michigan, USA","1011 Lake Ridge Dr, Traverse City, MI 49684, USA",1,1447,6889,7000,5.8,405.0
551,Commercial Demand,Retail Standalone,"1100 S GARFIELD AVE, Traverse City, Michigan, USA","1100 S Garfield Ave, Traverse City, MI 49686, USA",1,1394,4546,6000,6.0,423.0
552,Commercial Demand,Medium Office,"520 E FRONT ST, Traverse City, Michigan, USA","524 E Front St, Traverse City, MI 49686, USA",0,1428,5233,6000,5.8,405.0
553,Commercial Demand,Midrise Apartment,"731 FITZHUGH DR, Traverse City, Michigan, USA",Not Found,,,,,,
554,Commercial Demand,Medium Office,"1145 HASTINGS ST, Traverse City, Michigan, USA","1145 Hastings St, Traverse City, MI 49686, USA",1,1320,51128,5000,6.3,440.0
555,Commercial Demand,Retail Standalone,"115 HALL ST, Traverse City, Michigan, USA","Downtown Hall St Transfer Station, Traverse City, MI 49684, USA",0,1445,3876,7000,5.8,405.0
556,Commercial Demand,Other ,"1576 PREMIER ST, Traverse City, Michigan, USA",Not Found,,,,,,
557,Commercial Demand,Warehouse,"1020 HASTINGS ST, Traverse City, Michigan, USA","1020 Hastings St # 105, Traverse City, MI 49686, USA",1,1295,12615,5000,6.5,458.0
558,Commercial Demand,Service ,"2600 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","2600 W South Airport Rd, Traverse City, MI 49684, USA",1,1351,2519,6000,6.3,440.0
559,Commercial Demand,Other ,"303 E STATE ST, Traverse City, Michigan, USA","303 E State St, Traverse City, MI 49684, USA",1,1354,38443,6000,5.8,405.0
560,Commercial Demand,Full Service Restaurant,"851 S GARFIELD AVE, Traverse City, Michigan, USA","839 S Garfield Ave, Traverse City, MI 49686, USA",0,1325,29317,6000,6.3,440.0
561,Commercial Demand,Retail Strip Mall,"221 E FRONT ST, Traverse City, Michigan, USA","223 E Front St, Traverse City, MI 49684, USA",0,1265,2044,5000,6.8,476.0
562,Commercial Demand,Other ,"3020 CASS RD, Traverse City, Michigan, USA","2950 Cass Rd, Traverse City, MI 49684, USA",0,1451,3488,7000,5.8,405.0
563,Commercial Demand,Quick Service Restaurant,"748 MUNSON AVE STE, Traverse City, Michigan, USA","752 Munson Ave, Traverse City, MI 49686, USA",0,1352,2202,6000,6.3,440.0
564,Commercial Demand,Warehouse,"2392 CASS RD, Traverse City, Michigan, USA","2392 Cass Rd, Traverse City, MI 49684, USA",1,1312,8933,5000,6.3,440.0
565,Commercial Demand,Warehouse,"1421 WOODMERE AVE, Traverse City, Michigan, USA","1421 Woodmere Ave, Traverse City, MI 49686, USA",1,1312,3559,5000,6.3,440.0
566,Commercial Demand,Medium Office,"1000 HASTINGS ST, Traverse City, Michigan, USA","1000 Hastings St, Traverse City, MI 49686, USA",1,1373,3066,6000,6.3,440.0
567,Commercial Demand,Retail Standalone,"734 W FRONT ST, Traverse City, Michigan, USA","734 W Front St, Traverse City, MI 49684, USA",1,1347,7505,6000,6.3,440.0
568,Commercial Demand,Other ,"1260 BOON ST, Traverse City, Michigan, USA","1230 Boon St, Traverse City, MI 49686, USA",0,1314,5092,5000,6.3,440.0
569,Commercial Demand,Warehouse,"1247 BOON ST, Traverse City, Michigan, USA","1247 Boon St, Traverse City, MI 49686, USA",1,1314,25141,5000,6.3,440.0
570,Commercial Demand,Warehouse,"260 E TWELFTH ST, Traverse City, Michigan, USA","260 E Twelfth St, Traverse City, MI 49684, USA",1,1312,4898,5000,6.3,440.0
571,Commercial Demand,Midrise Apartment,"931 FITZHUGH DR, Traverse City, Michigan, USA",Not Found,,,,,,
572,Commercial Demand,Full Service Restaurant,"221 GARLAND ST STE, Traverse City, Michigan, USA","221 Garland St, Traverse City, MI 49684, USA",1,1327,7083,6000,6.3,440.0
573,Commercial Demand,Midrise Apartment,"750 FITZHUGH DR, Traverse City, Michigan, USA","750 Fitzhugh Dr, Traverse City, MI 49684, USA",1,1290,5109,5000,6.5,458.0
574,Commercial Demand,Full Service Restaurant,"1333 YELLOW DR, Traverse City, Michigan, USA",Not Found,,,,,,
575,Commercial Demand,Full Service Restaurant,"124 CASS ST, Traverse City, Michigan, USA","124 Cass St, Traverse City, MI 49684, USA",1,1364,810,5000,6.3,440.0
576,Commercial Demand,Medium Office,"603 BAY ST, Traverse City, Michigan, USA","603 Bay St, Traverse City, MI 49684, USA",1,1425,3894,6000,5.8,405.0
577,Commercial Demand,Small Hotel,"221 GARLAND ST, Traverse City, Michigan, USA","221 Garland St, Traverse City, MI 49684, USA",1,1327,7083,6000,6.3,440.0
578,Commercial Demand,Secondary School,"123 E ELEVENTH ST, Traverse City, Michigan, USA","123 E Tenth St, Traverse City, MI 49684, USA",1,1384,846,4000,7.0,493.0
579,Commercial Demand,Retail Strip Mall,"1035 S GARFIELD AVE, Traverse City, Michigan, USA","1035 S Garfield Ave, Traverse City, MI 49686, USA",1,1322,7770,6000,6.3,440.0
580,Commercial Demand,Small Office,"314 E FRONT ST, Traverse City, Michigan, USA","314 E Front St, Traverse City, MI 49684, USA",1,1160,3083,4000,7.3,511.0
581,Commercial Demand,Retail Strip Mall,"104 S UNION ST, Traverse City, Michigan, USA","104 S Union St #201, Traverse City, MI 49684, USA",1,1325,4986,6000,6.3,440.0
582,Commercial Demand,Small Office,"836 ROBINWOOD CT, Traverse City, Michigan, USA","836 Robinwood Ct, Traverse City, MI 49686, USA",1,1094,1568,2000,7.8,546.0
583,Commercial Demand,Retail Strip Mall,"123 S UNION ST, Traverse City, Michigan, USA","123 S Union St, Traverse City, MI 49684, USA",1,1327,3858,6000,6.3,440.0
584,Commercial Demand,Small Office,"811 S GARFIELD AVE, Traverse City, Michigan, USA","745 S Garfield Ave Ste B, Traverse City, MI 49686, USA",0,1435,5814,7000,5.8,405.0
585,Commercial Demand,Retail Standalone,"1133 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1133 W South Airport Rd, Traverse City, MI 49686, USA",1,1295,9426,5000,6.5,458.0
586,Commercial Demand,Small Hotel,"1566 US 31 NORTH, Traverse City, Michigan, USA",Not Found,,,,,,
587,Commercial Demand,Small Hotel,"1840 US 31 NORTH, Traverse City, Michigan, USA","1808 US-31, Traverse City, MI 49685, USA",0,1174,1004,2000,8.0,564.0
588,Commercial Demand,Medium Office,"2510 AERO PARK DR, Traverse City, Michigan, USA","2510 Aero-Park Dr, Traverse City, MI 49686, USA",1,1323,16367,6000,6.3,440.0
589,Commercial Demand,Medium Office,"610 WOODMERE AVE, Traverse City, Michigan, USA","610 Woodmere Ave, Traverse City, MI 49686, USA",1,1417,23115,6000,5.8,405.0
590,Commercial Demand,Medium Office,"141 RIVERS EDGE DR, Traverse City, Michigan, USA","310 Cass St, Traverse City, MI 49684, USA",0,1394,11963,6000,6.0,423.0
591,Commercial Demand,Midrise Apartment,"781 FITZHUGH DR, Traverse City, Michigan, USA","781 Fitzhugh Dr, Traverse City, MI 49684, USA",1,1320,5021,5000,6.3,440.0
592,Commercial Demand,Medium Office,"517 WELLINGTON ST, Traverse City, Michigan, USA","517 Wellington St, Traverse City, MI 49686, USA",1,1362,9056,6000,6.0,423.0
593,Commercial Demand,Retirement Community,"1456 BRIGADOON CT, Traverse City, Michigan, USA",Not Found,,,,,,
594,Commercial Demand,Full Service Restaurant,"3501 MARKETPLACE CR, Traverse City, Michigan, USA","3875 Marketplace Cir, Traverse City, MI 49684, USA",0,1421,5585,6000,6.0,423.0
595,Commercial Demand,Warehouse,"2762 CASS RD, Traverse City, Michigan, USA","2762 Cass Rd, Traverse City, MI 49684, USA",1,1369,10818,6000,6.0,423.0
596,Commercial Demand,Retail Standalone,"2625 N US 31 SOUTH, Traverse City, Michigan, USA","2537 US-31, Traverse City, MI 49684, USA",0,1321,9197,6000,6.3,440.0
597,Commercial Demand,Full Service Restaurant,"305 W FRONT ST 1ST, Traverse City, Michigan, USA","302 W Front St, Traverse City, MI 49684, USA",0,1310,599,5000,6.5,458.0
598,Commercial Demand,Retail Standalone,"231 E EIGHTH ST, Traverse City, Michigan, USA","231 E Eighth St, Traverse City, MI 49684, USA",1,1423,14658,6000,5.8,405.0
599,Commercial Demand,Supermarket,"3955 N US 31 SOUTH, Traverse City, Michigan, USA",Not Found,,,,,,
600,Commercial Demand,Medium Office,"140 RIVERS EDGE DR, Traverse City, Michigan, USA","141 Rivers Edge Dr #200, Traverse City, MI 49684, USA",0,1402,5885,6000,6.0,423.0
601,Commercial Demand,Medium Office,"13900 S WEST BAY SHORE DR, Traverse City, Michigan, USA",Not Found,,,,,,
